age,personnel_id,gender,race,marital_status,education,type_of_work,salary,distance_from_home,years_with_current_manager
41,3652,0,0,2,1,2,75073,10,9
55,3653,1,2,0,0,2,27730,29,5
49,3654,1,0,0,2,1,81161,5,4
65,3655,0,2,1,0,0,36638,17,2
33,3656,0,2,1,2,0,54638,3,4
60,3657,0,6,0,1,3,68153,24,2
56,3658,0,0,2,0,1,29552,18,2
43,3659,0,2,0,2,3,48092,11,3
37,3660,0,1,2,3,3,96896,15,4
40,3661,0,2,0,2,0,28361,12,6
58,3662,0,2,0,0,0,28141,4,5
67,3663,0,1,0,1,3,83280,21,8
61,3664,0,2,1,2,2,34013,26,7
31,3665,1,2,1,1,0,95653,6,5
42,3666,0,2,0,1,0,66495,12,9
20,3667,1,2,2,4,1,89806,3,9
48,3668,0,2,1,2,1,72141,5,8
45,3669,0,2,0,1,3,82290,10,3
45,3670,0,2,2,1,3,69270,18,3
58,3671,0,1,2,1,3,92160,7,1
45,3672,1,2,2,0,1,93581,15,4
48,3673,0,1,2,0,1,94003,3,3
31,3674,0,2,0,3,1,118367,7,2
42,3675,0,2,1,1,1,57458,9,7
51,3676,1,2,1,0,0,97783,3,3
56,3677,0,2,2,0,1,66873,12,4
48,3678,1,0,2,4,2,68304,24,2
37,3679,0,6,2,0,1,73154,5,6
30,3680,0,2,1,1,0,59685,13,1
49,3681,1,2,0,2,2,42965,19,5
39,3682,0,2,1,4,1,74487,3,5
69,3683,0,2,2,0,2,28178,9,7
67,3684,0,2,1,3,3,32626,7,5
68,3685,0,2,1,1,3,20628,5,8
36,3686,0,2,2,3,1,75078,7,8
48,3687,0,2,1,1,1,121529,5,5
26,3688,0,0,2,1,1,76159,5,2
54,3689,0,2,2,0,1,78909,11,5
65,3690,0,2,2,0,0,26969,14,6
47,3691,0,2,2,3,0,54874,6,5
43,3692,0,2,1,1,1,91296,5,4
50,3693,0,2,1,1,1,34787,4,9
44,3694,0,2,0,3,1,85869,6,2
53,3695,1,2,1,1,3,75234,9,5
53,3696,0,4,2,1,3,101570,3,10
60,3697,1,2,1,0,0,74657,19,13
41,3698,0,2,0,3,1,80114,10,2
38,3699,0,2,0,1,3,102962,3,11
33,3700,1,2,0,1,0,64936,8,1
61,3701,0,2,2,1,3,28982,10,1
40,3702,0,2,2,1,3,105257,6,7
56,3703,0,2,0,2,1,37972,13,3
55,3704,1,1,0,3,0,39162,18,9
49,3705,0,2,1,1,4,53845,8,5
43,3706,0,2,2,1,1,61090,22,6
58,3707,0,1,1,4,4,38165,13,5
48,3708,0,2,1,3,3,74892,11,6
54,3709,0,2,2,2,1,26662,13,8
52,3710,0,1,1,0,1,97163,9,5
58,3711,1,2,1,0,2,26203,15,2
61,3712,0,2,1,1,1,89818,9,1
27,3713,0,2,1,2,2,60305,19,4
51,3714,1,1,1,1,2,83160,15,5
23,3715,0,2,1,0,1,89972,13,4
49,3716,0,0,2,1,1,56961,18,5
51,3717,1,2,2,1,0,108988,15,5
48,3718,0,2,2,1,1,98514,9,5
54,3719,1,2,1,0,1,72744,2,4
31,3720,0,2,0,1,0,64725,4,5
44,3721,0,2,0,2,0,62430,11,3
65,3722,0,2,2,1,1,73183,25,6
55,3723,1,2,0,2,0,51582,17,4
48,3724,0,2,2,0,0,88855,16,7
36,3725,0,2,1,3,3,49632,2,7
33,3726,0,0,2,0,1,114313,9,11
34,3727,0,2,0,1,3,124425,2,6
56,3728,0,2,0,2,0,57412,18,6
47,3729,0,2,0,1,3,82031,12,9
39,3730,0,2,2,3,3,52352,3,5
48,3731,0,2,2,1,0,43518,7,3
37,3732,0,2,2,3,3,73484,4,10
49,3733,1,2,2,0,5,95644,6,3
49,3734,0,3,0,2,2,113954,14,5
66,3735,0,2,1,3,1,32287,13,14
52,3736,0,2,2,2,1,63961,8,12
70,3737,0,0,2,0,1,72399,8,5
58,3738,0,4,2,2,2,34164,10,1
55,3739,0,2,2,0,1,115683,13,11
38,3740,0,2,0,3,3,94298,13,7
41,3741,0,2,0,0,2,30027,2,6
45,3742,1,2,1,2,1,82574,13,8
40,3743,1,2,2,1,0,84154,20,7
35,3744,0,3,1,0,2,84498,12,5
45,3745,1,2,0,1,3,79875,11,6
39,3746,0,2,1,2,4,69427,11,3
45,3747,0,2,2,1,0,113738,25,11
39,3748,1,2,1,0,0,83308,14,5
54,3749,0,1,0,1,3,70057,4,5
30,3750,0,2,1,0,0,87449,6,5
50,3751,0,2,0,2,1,64701,18,7
29,3752,0,2,0,1,4,56027,12,14
49,3753,0,2,0,3,3,64084,17,6
37,3754,0,1,0,1,3,61528,16,7
34,3755,1,2,0,0,0,76546,17,3
52,3756,1,1,0,1,3,92574,4,4
52,3757,0,2,0,1,3,82977,17,2
59,3758,0,6,2,3,1,34834,18,2
38,3759,1,0,1,2,1,93298,11,2
42,3760,0,2,1,0,2,44759,19,3
54,3761,0,2,1,1,3,41747,14,5
27,3762,0,2,2,1,1,92043,10,2
45,3763,0,1,0,1,2,73777,11,3
31,3764,0,2,0,2,1,89668,16,5
54,3765,0,2,2,0,0,89682,10,2
50,3766,0,2,1,1,3,55761,28,2
49,3767,0,2,0,0,1,22249,20,9
36,3768,1,2,1,3,1,100128,17,8
45,3769,1,1,0,4,1,69657,13,2
46,3770,0,2,1,1,3,68711,15,6
35,3771,0,2,0,1,3,52495,7,5
38,3772,0,2,0,1,0,41529,11,8
56,3773,1,2,2,3,1,87749,16,14
45,3774,0,2,0,0,0,83848,22,5
63,3775,0,2,1,1,1,43169,13,6
49,3776,0,2,0,1,0,62599,11,2
40,3777,0,1,0,2,1,82294,2,7
45,3778,0,2,0,5,3,26363,15,4
56,3779,1,2,2,1,4,99935,11,1
53,3780,0,2,2,2,0,63490,2,3
45,3781,0,0,1,0,0,86447,21,8
37,3782,1,2,2,1,3,65046,17,7
45,3783,1,2,0,3,3,53815,7,4
66,3784,0,2,0,0,2,33781,15,3
39,3785,0,2,2,0,1,46201,6,5
43,3786,1,2,1,0,2,84109,8,3
54,3787,0,2,0,1,3,92081,11,7
58,3788,0,2,2,2,3,36513,2,3
55,3789,0,1,2,3,0,46775,12,8
65,3790,0,2,2,1,2,30078,12,6
49,3791,0,4,2,0,1,91095,7,7
67,3792,0,3,1,2,1,87964,8,8
69,3793,0,2,0,1,3,84018,6,6
54,3794,0,1,1,0,2,30963,13,9
35,3795,1,2,1,1,3,73257,9,7
60,3796,0,3,1,0,1,38134,10,1
40,3797,1,2,0,0,1,48344,16,2
33,3798,0,2,0,4,1,80647,4,3
46,3799,0,2,1,1,3,86162,13,6
43,3800,0,2,1,2,1,81329,2,7
44,3801,0,2,0,2,1,80862,5,6
33,3802,0,1,0,2,3,96225,7,2
36,3803,0,2,1,3,3,89197,13,9
42,3804,0,1,0,4,2,64419,9,6
47,3805,0,2,1,2,0,81092,5,5
30,3806,1,2,0,0,1,82674,9,3
58,3807,0,2,1,1,1,35429,15,1
64,3808,0,2,2,0,1,27340,3,5
56,3809,1,2,2,0,1,87386,7,1
56,3810,0,2,0,2,1,73802,18,10
44,3811,1,2,2,1,3,76390,18,8
58,3812,0,4,2,1,3,46555,16,9
37,3813,0,2,0,1,3,62057,10,10
26,3814,1,2,0,0,2,61892,10,9
41,3815,0,2,1,3,1,96568,14,3
44,3816,0,2,2,3,0,76147,16,4
56,3817,1,4,0,1,3,49926,14,8
44,3818,0,2,1,3,1,48758,6,2
48,3819,0,4,2,4,0,78043,4,5
63,3820,0,1,1,0,2,30948,24,3
50,3821,0,2,2,1,3,94710,9,6
66,3822,0,3,0,2,1,66436,2,10
40,3823,0,2,0,0,1,88184,9,6
61,3824,1,2,0,2,1,94941,8,6
41,3825,0,1,1,2,0,90380,2,4
43,3826,0,2,2,1,3,50730,4,3
60,3827,1,2,2,0,0,65663,3,6
62,3828,1,2,2,1,1,36413,21,5
51,3829,0,2,0,1,1,54984,5,10
48,3830,0,2,1,3,5,61756,11,10
52,3831,0,2,1,1,1,76392,22,7
42,3832,0,2,2,3,1,84590,12,3
48,3833,0,2,2,1,3,75945,14,2
68,3834,0,2,2,2,1,20716,11,6
64,3835,0,2,1,1,2,29229,12,1
46,3836,0,2,2,2,2,79914,14,5
43,3837,1,2,2,0,1,28513,7,5
56,3838,0,6,2,1,3,83155,12,5
64,3839,0,2,0,1,3,42790,14,6
62,3840,0,6,2,0,1,34793,4,8
47,3841,0,2,1,0,0,70708,2,5
43,3842,0,1,0,1,0,58925,17,3
66,3843,0,2,0,1,1,83070,8,4
54,3844,0,1,1,3,0,72734,18,5
33,3845,0,2,1,2,2,89019,4,7
62,3846,0,2,1,3,1,75088,11,11
33,3847,0,2,1,1,0,91805,14,9
45,3848,0,2,1,0,1,71995,6,4
32,3849,0,2,0,1,3,59754,6,8
43,3850,0,2,0,3,3,101074,18,4
49,3851,0,2,1,1,3,50954,6,5
66,3852,0,2,2,1,2,30047,13,7
25,3853,0,2,1,1,0,37160,23,2
50,3854,0,2,0,2,1,95227,11,4
32,3855,1,3,0,1,2,54552,8,8
25,3856,0,2,0,2,1,99105,19,7
44,3857,1,2,0,3,3,86092,17,5
48,3858,0,2,2,1,3,88718,8,6
20,3859,0,2,1,1,3,78469,12,6
70,3860,1,1,1,1,1,58004,9,7
49,3861,0,2,1,1,0,75121,21,2
59,3862,0,1,0,1,3,48049,18,7
61,3863,0,1,2,0,0,23161,7,10
41,3864,0,2,1,2,1,89083,12,8
39,3865,0,2,1,1,3,80264,24,11
45,3866,0,0,0,1,3,71671,10,6
45,3867,0,2,1,0,1,51998,9,9
30,3868,1,2,0,2,0,104241,15,7
44,3869,0,2,1,2,1,34064,3,7
64,3870,0,2,2,1,0,27323,19,8
44,3871,0,2,0,2,5,79466,12,1
41,3872,0,2,0,1,1,59286,28,7
48,3873,0,2,0,2,3,86421,7,6
45,3874,0,2,2,1,0,38888,7,3
24,3875,1,2,1,1,3,96896,19,11
38,3876,0,2,1,0,1,86064,19,2
52,3877,0,2,1,1,0,67031,12,2
40,3878,0,1,2,3,1,89200,12,2
46,3879,0,2,0,0,1,66782,14,8
53,3880,0,2,1,2,1,24979,7,1
66,3881,0,3,0,3,1,50695,19,4
38,3882,0,2,2,1,2,67389,15,9
46,3883,0,2,1,0,1,52845,16,3
41,3884,0,2,2,1,0,77369,21,4
37,3885,0,3,1,4,1,87959,9,8
45,3886,0,4,0,1,3,96349,8,15
58,3887,0,2,1,0,1,32064,17,7
54,3888,0,2,0,0,0,69175,11,4
41,3889,1,1,1,2,1,75919,12,11
61,3890,0,2,2,2,1,31960,24,7
35,3891,0,2,1,0,1,43080,21,6
49,3892,0,2,0,0,2,42379,13,4
60,3893,0,3,2,1,1,26303,3,6
50,3894,0,3,1,0,1,37554,7,2
62,3895,1,1,1,1,1,59259,7,7
38,3896,0,1,1,0,1,110578,10,9
65,3897,0,2,1,2,1,36096,12,5
48,3898,0,2,2,0,0,33943,17,6
51,3899,0,2,1,1,1,71586,16,5
57,3900,1,2,2,0,2,80871,6,7
44,3901,0,2,2,3,1,93532,11,3
36,3902,0,2,0,2,1,106015,4,5
55,3903,0,1,0,3,3,31654,24,3
46,3904,0,2,1,1,2,30754,19,1
43,3905,1,2,0,0,1,102766,9,2
51,3906,0,2,2,1,3,67451,14,4
54,3907,0,3,1,3,0,87510,13,10
24,3908,1,2,2,2,2,75510,21,5
30,3909,0,0,0,3,3,101189,18,11
35,3910,1,1,0,2,4,88160,20,6
46,3911,0,1,1,2,0,79577,11,6
67,3912,0,2,1,1,1,37125,5,7
52,3913,0,2,0,0,1,70228,25,5
41,3914,0,2,0,0,2,78188,3,2
55,3915,0,2,1,3,3,79492,6,8
35,3916,0,1,0,1,0,89605,6,1
41,3917,0,2,0,1,1,59062,4,2
56,3918,1,2,1,2,0,37526,7,4
49,3919,0,2,0,1,0,63724,6,9
44,3920,0,2,0,1,2,58265,17,9
45,3921,1,2,2,2,1,68329,13,10
50,3922,0,4,0,2,0,98554,7,3
66,3923,0,2,2,2,3,33282,12,7
37,3924,0,2,1,3,0,52127,4,7
40,3925,0,2,2,2,0,75889,6,2
39,3926,0,2,2,2,1,62222,3,2
61,3927,0,2,0,3,0,84163,2,4
63,3928,1,2,2,2,1,28543,16,10
59,3929,1,2,2,3,0,51392,7,1
33,3930,0,2,2,1,1,66652,11,6
52,3931,1,0,1,1,3,46131,16,1
52,3932,1,0,0,0,0,83434,9,5
65,3933,0,1,2,3,0,31405,4,5
51,3934,0,2,0,1,3,48198,11,6
45,3935,0,2,1,2,1,58013,7,1
65,3936,0,2,1,0,1,22646,25,6
46,3937,0,1,1,3,0,84051,14,5
65,3938,0,1,1,0,0,24278,22,5
45,3939,0,2,0,3,1,87923,10,4
20,3940,0,2,2,1,1,43274,22,5
35,3941,0,2,2,1,3,88142,5,8
38,3942,0,2,2,1,2,71409,6,3
53,3943,0,2,1,2,0,83128,13,3
49,3944,0,2,1,3,2,78361,7,7
59,3945,0,3,2,0,0,31385,5,1
39,3946,0,2,2,1,1,81487,6,1
55,3947,1,1,1,3,3,96472,26,2
35,3948,0,2,1,1,3,47993,13,10
29,3949,0,2,0,0,1,89434,23,1
44,3950,0,2,2,2,1,44067,9,2
36,3951,0,2,1,3,0,102281,13,6
50,3952,0,6,1,1,3,25943,24,5
71,3953,1,2,1,1,1,33375,7,5
62,3954,0,1,2,2,1,34500,9,8
39,3955,0,2,1,0,2,65396,17,6
52,3956,0,2,0,0,2,48087,6,5
58,3957,0,2,0,0,0,49604,13,11
48,3958,0,2,1,2,1,90127,8,5
47,3959,1,2,2,3,1,98236,24,5
45,3960,1,1,1,1,3,77492,19,4
64,3961,0,1,2,2,0,50684,19,3
54,3962,1,2,0,2,1,109122,11,9
50,3963,0,2,0,0,5,68497,11,5
67,3964,0,2,1,1,0,26933,10,1
46,3965,0,1,1,1,3,91879,13,6
41,3966,0,1,2,3,1,72512,24,1
42,3967,0,2,1,2,0,104580,9,3
31,3968,0,4,1,1,3,86715,11,6
58,3969,0,0,1,3,1,80243,7,7
41,3970,0,2,2,1,1,69005,4,8
52,3971,1,2,2,1,3,37971,12,7
57,3972,0,2,1,2,3,34927,24,5
49,3973,0,2,0,1,3,47359,3,7
39,3974,0,1,2,1,3,93128,10,1
27,3975,1,2,0,2,3,44246,9,3
38,3976,0,2,1,0,1,85367,8,3
35,3977,0,2,2,2,1,80515,19,5
47,3978,1,2,0,3,1,86055,5,6
54,3979,0,2,0,2,4,80583,10,6
43,3980,1,2,0,1,0,89435,19,8
46,3981,1,2,0,0,1,60187,12,3
54,3982,0,1,1,1,3,83079,11,8
48,3983,0,2,2,1,3,28544,10,8
26,3984,0,2,0,2,1,93417,17,3
53,3985,0,3,0,4,0,76571,19,1
46,3986,1,2,2,2,0,61160,24,1
57,3987,0,2,2,4,2,61262,5,2
41,3988,0,2,0,1,3,90118,10,9
33,3989,0,2,1,2,0,98255,15,6
47,3990,0,2,1,0,1,40877,8,4
21,3991,0,2,0,2,1,84426,2,8
24,3992,1,2,1,2,1,91495,6,1
61,3993,0,2,0,3,0,37610,9,7
38,3994,0,2,0,1,3,73728,17,10
47,3995,0,2,0,1,3,70387,15,3
29,3996,0,2,1,3,1,102087,8,9
49,3997,1,2,0,1,0,91820,12,3
38,3998,0,4,1,2,5,88923,15,8
53,3999,0,2,1,0,0,86930,15,7
41,4000,1,3,2,0,1,70512,8,3
62,4001,0,2,2,1,3,26123,21,2
69,4002,0,2,0,0,0,76095,18,4
62,4003,0,2,0,1,1,26325,10,9
39,4004,0,1,0,1,1,61129,12,7
45,4005,0,2,0,2,1,89816,5,5
47,4006,0,1,1,1,3,57079,16,5
52,4007,0,2,0,2,4,37597,7,3
31,4008,1,6,0,1,3,75786,4,5
42,4009,1,2,2,1,3,53550,9,3
32,4010,1,2,1,0,0,42497,12,6
32,4011,0,2,0,1,3,99215,9,7
54,4012,0,2,2,3,3,73980,11,9
47,4013,0,2,1,4,2,54164,11,8
29,4014,1,3,1,2,3,80040,7,2
26,4015,0,1,2,2,2,74192,18,2
66,4016,0,6,2,1,1,33147,20,9
62,4017,0,1,0,0,1,35792,3,10
46,4018,1,2,1,3,1,70853,14,3
44,4019,0,2,2,0,0,80133,16,2
37,4020,0,2,0,2,1,87681,2,1
60,4021,0,2,2,3,2,81706,7,6
42,4022,1,1,2,1,3,75909,10,4
39,4023,1,2,0,3,0,47744,12,7
67,4024,1,2,0,0,0,50370,7,4
40,4025,0,2,2,0,2,108619,5,6
57,4026,0,2,2,1,3,21752,2,9
40,4027,0,2,0,3,1,53773,8,4
54,4028,1,2,0,1,0,39733,13,6
64,4029,0,2,2,1,0,25218,15,4
55,4030,1,1,2,1,4,51019,3,2
65,4031,1,2,0,1,1,52708,15,3
39,4032,0,2,0,4,1,90073,14,4
53,4033,0,2,2,1,3,47841,11,7
32,4034,0,2,0,2,0,73708,6,8
41,4035,0,2,0,1,3,101450,10,9
52,4036,0,2,2,3,1,71689,4,5
60,4037,0,2,0,1,3,96672,11,9
43,4038,0,2,1,2,2,81820,15,5
52,4039,0,2,0,0,2,63657,14,1
46,4040,0,2,1,4,1,30469,10,5
32,4041,0,1,0,0,1,111855,16,10
31,4042,0,2,1,1,1,87333,11,8
46,4043,1,2,0,1,0,86131,17,6
48,4044,0,2,1,1,3,26874,2,6
64,4045,0,2,2,1,1,25212,11,6
52,4046,0,1,1,1,1,51388,14,4
57,4047,0,2,0,1,1,33675,19,5
42,4048,0,3,2,2,2,97346,3,5
41,4049,0,0,0,0,0,81872,5,5
37,4050,1,2,0,2,4,36438,4,4
54,4051,0,3,1,0,2,74934,6,7
58,4052,1,2,2,1,3,25330,14,1
62,4053,1,3,2,0,1,28919,10,3
49,4054,0,2,2,2,1,57116,10,5
48,4055,1,1,0,1,1,36627,5,10
39,4056,0,2,2,0,0,46135,12,7
34,4057,0,2,1,3,1,89632,9,1
54,4058,0,2,0,2,0,61748,15,3
32,4059,0,1,2,0,0,79291,5,1
42,4060,1,2,0,1,1,86307,5,1
42,4061,0,2,2,0,1,81994,10,1
52,4062,0,2,1,0,0,63137,4,4
27,4063,1,2,0,3,1,97635,15,12
54,4064,0,2,2,0,2,91972,7,1
33,4065,0,2,1,1,1,44316,18,8
49,4066,1,2,1,4,0,80120,21,1
34,4067,0,2,2,0,1,84394,12,5
43,4068,1,2,1,1,1,99531,20,4
51,4069,0,2,0,2,1,99016,7,5
54,4070,0,2,1,0,0,25879,10,3
51,4071,1,1,2,0,1,62737,7,9
28,4072,1,2,1,3,5,91656,10,1
36,4073,1,2,2,1,3,77448,13,7
63,4074,1,2,0,1,2,87212,10,5
41,4075,0,2,0,2,1,77135,14,5
37,4076,1,2,1,0,1,83753,15,3
47,4077,0,2,1,2,1,74122,8,1
61,4078,1,2,2,2,1,28328,10,3
30,4079,0,2,0,1,0,68968,12,8
52,4080,1,4,2,2,0,101425,15,4
42,4081,1,2,0,1,3,44361,3,7
58,4082,0,2,0,0,2,87320,8,6
45,4083,0,2,1,1,3,75261,14,2
33,4084,0,0,0,0,1,85620,6,8
53,4085,0,2,1,3,0,30945,6,6
57,4086,0,2,0,5,3,68952,11,5
37,4087,1,0,1,1,3,47741,5,6
58,4088,0,2,1,1,1,65339,6,11
45,4089,1,2,2,3,3,81486,12,6
44,4090,0,2,2,3,2,76543,16,2
60,4091,1,2,1,1,3,110132,19,10
41,4092,0,1,0,1,1,77190,11,8
52,4093,1,0,1,2,1,54132,10,3
63,4094,0,5,1,0,1,57066,7,3
34,4095,1,2,2,1,3,92544,14,10
55,4096,0,2,1,0,1,57057,7,6
45,4097,1,2,0,3,0,35739,12,9
60,4098,0,0,2,2,1,25204,2,3
51,4099,1,2,0,2,1,59425,13,1
40,4100,0,2,1,4,1,60029,10,1
45,4101,1,2,1,1,0,77688,6,6
52,4102,1,2,0,0,0,85267,10,1
30,4103,0,2,2,2,1,91679,10,2
48,4104,0,2,2,2,2,92855,11,7
25,4105,0,2,1,1,0,56975,25,6
50,4106,0,2,0,0,1,81204,16,3
25,4107,0,2,2,0,0,78708,8,4
39,4108,0,2,2,0,0,52495,7,9
56,4109,0,2,2,2,2,92832,18,6
61,4110,0,2,2,2,0,67061,8,7
50,4111,0,2,2,1,5,69015,2,3
38,4112,0,4,1,0,3,70137,2,4
37,4113,0,0,0,0,1,101796,14,11
30,4114,0,2,0,3,0,67639,15,8
50,4115,1,1,0,2,2,68653,3,14
51,4116,0,1,0,0,0,27011,18,9
38,4117,1,2,2,1,3,96136,2,7
60,4118,0,2,1,1,1,24202,7,4
43,4119,0,0,1,0,4,61467,11,6
50,4120,0,2,1,1,3,54673,20,3
72,4121,1,2,1,4,1,83093,6,4
53,4122,1,2,0,0,1,32074,28,5
34,4123,0,1,0,1,3,72015,9,7
49,4124,0,1,1,1,1,66923,15,1
40,4125,0,0,1,2,1,82800,10,7
31,4126,0,2,2,1,0,80382,19,10
68,4127,0,2,1,2,1,32486,5,1
44,4128,0,2,0,2,1,102994,13,7
40,4129,0,2,2,1,3,84373,7,1
49,4130,0,2,0,1,3,97086,6,6
38,4131,0,4,0,3,2,31751,8,5
56,4132,1,1,0,2,1,65665,17,8
31,4133,0,2,0,1,1,79741,15,8
40,4134,0,2,1,1,3,71267,13,4
42,4135,0,2,0,0,1,91934,12,3
53,4136,0,2,0,1,1,83460,27,1
69,4137,0,2,2,0,1,26808,8,4
47,4138,0,2,0,3,1,90896,5,3
58,4139,0,2,2,1,1,32416,10,8
41,4140,0,2,0,1,1,90058,23,6
28,4141,1,4,1,0,1,66331,25,5
37,4142,0,2,2,3,1,80444,6,4
42,4143,0,2,0,0,1,87156,5,7
42,4144,0,2,2,1,1,81919,11,8
23,4145,1,1,0,3,0,93211,4,5
44,4146,0,1,2,3,1,85585,13,7
30,4147,1,2,2,1,1,55824,15,3
41,4148,0,2,2,3,1,45956,7,4
53,4149,0,2,2,3,1,24268,19,11
52,4150,0,6,1,1,1,98939,13,7
42,4151,0,2,0,3,4,46253,5,6
39,4152,0,2,2,1,0,91929,14,11
53,4153,1,2,0,1,1,88972,5,1
33,4154,1,2,2,1,3,52948,11,6
60,4155,1,4,1,2,1,74902,9,8
62,4156,1,2,1,1,3,80579,17,6
38,4157,0,2,2,3,1,79682,27,5
48,4158,1,1,2,1,1,66501,25,5
49,4159,1,1,0,1,3,86791,4,6
33,4160,0,2,0,4,2,103926,13,8
45,4161,0,2,2,2,2,100743,10,4
56,4162,0,2,2,2,1,32606,16,10
58,4163,1,2,1,0,1,92375,6,7
49,4164,0,2,0,2,1,80864,23,4
28,4165,1,2,0,3,3,76344,24,6
48,4166,0,2,0,3,3,97478,16,1
37,4167,0,2,0,3,1,41520,14,5
48,4168,0,2,0,1,3,97517,19,8
37,4169,0,2,0,2,2,69078,6,8
57,4170,0,1,0,1,3,49146,10,8
37,4171,1,1,1,1,3,38433,16,13
39,4172,1,2,0,1,3,45961,4,1
43,4173,1,1,1,3,1,58189,20,7
36,4174,0,2,2,2,1,109596,7,7
42,4175,0,2,2,3,5,101432,13,8
45,4176,1,2,1,1,3,92988,19,4
57,4177,1,2,0,1,1,62042,10,11
25,4178,0,1,0,0,1,79576,10,9
40,4179,1,2,0,2,0,78539,17,2
49,4180,0,0,0,0,1,63984,9,2
42,4181,0,1,0,2,1,59069,7,9
58,4182,0,0,1,2,1,57730,5,7
43,4183,1,2,1,3,3,88322,21,6
23,4184,1,2,2,2,1,84679,13,9
53,4185,0,0,0,0,1,46038,11,9
30,4186,0,1,0,0,1,103465,9,2
54,4187,0,2,1,3,0,69557,7,4
58,4188,1,2,2,1,3,28209,6,1
29,4189,0,2,1,2,4,71218,15,3
35,4190,0,1,1,1,3,84244,11,8
58,4191,0,3,1,2,0,23628,22,7
47,4192,0,2,2,2,1,87989,9,8
58,4193,0,2,2,2,1,88894,4,7
63,4194,0,2,2,3,1,32588,4,2
40,4195,0,1,0,1,2,89526,6,3
53,4196,0,2,1,1,3,112469,8,1
40,4197,0,2,0,2,0,76394,15,6
60,4198,0,1,1,3,2,92843,4,8
33,4199,0,2,0,2,1,42841,11,10
58,4200,0,4,2,2,2,26423,15,1
41,4201,1,2,0,2,5,80580,10,2
52,4202,0,2,2,2,2,69077,21,6
51,4203,0,3,2,1,1,87632,22,8
57,4204,0,1,0,0,1,75712,11,6
32,4205,0,1,0,3,5,91084,6,3
45,4206,0,2,0,2,1,79834,19,1
46,4207,1,2,0,1,3,58277,15,6
49,4208,0,2,0,1,0,110532,11,3
59,4209,1,0,0,0,1,30727,2,2
43,4210,1,2,0,1,3,94435,7,8
46,4211,1,2,0,1,1,86106,13,4
58,4212,0,2,1,1,3,53611,13,9
54,4213,1,2,0,1,1,86062,24,5
63,4214,0,1,1,2,1,33283,15,7
47,4215,0,4,1,3,1,67103,9,5
63,4216,0,2,1,1,0,76935,4,12
30,4217,0,2,0,2,1,89319,6,5
55,4218,1,2,2,1,3,115735,8,4
37,4219,0,2,0,1,1,109706,10,3
28,4220,1,2,0,0,5,88118,13,3
48,4221,0,1,0,1,0,97605,15,5
47,4222,0,2,0,2,0,79330,9,4
33,4223,0,3,0,2,1,23417,2,7
53,4224,0,2,1,2,1,64395,12,1
51,4225,1,1,0,0,1,84600,13,4
65,4226,0,2,1,2,5,30495,3,4
50,4227,0,2,0,2,1,107893,12,7
42,4228,0,2,0,2,1,54246,9,8
53,4229,0,0,2,0,1,76670,3,5
32,4230,0,1,0,4,1,62229,15,4
51,4231,1,2,1,3,1,60327,23,3
42,4232,0,2,0,0,1,30590,3,6
38,4233,0,2,1,1,3,74265,20,7
53,4234,0,2,1,2,0,88993,12,11
60,4235,0,2,1,1,3,27531,9,1
45,4236,0,0,0,1,4,63373,4,8
58,4237,0,1,1,1,0,23825,24,8
54,4238,0,2,0,0,0,73089,9,7
44,4239,1,2,2,0,2,97749,4,4
58,4240,0,2,2,1,3,59101,4,12
38,4241,0,5,2,1,2,58529,18,4
27,4242,1,1,0,2,1,76859,17,7
34,4243,0,2,2,5,3,89998,20,5
62,4244,0,2,0,0,0,65467,16,14
66,4245,0,2,0,1,3,28473,13,8
58,4246,0,2,2,1,3,80008,3,7
40,4247,0,2,0,2,4,90418,7,5
50,4248,0,5,0,3,3,59217,6,4
41,4249,0,2,2,3,1,94387,14,11
47,4250,1,2,0,1,3,46253,4,7
51,4251,0,2,0,0,1,34328,12,8
24,4252,1,1,0,3,3,76927,7,1
22,4253,1,0,0,0,4,106783,11,1
54,4254,0,1,2,0,1,65402,12,8
45,4255,0,2,1,3,0,93048,12,5
42,4256,0,2,0,4,4,74470,6,1
33,4257,0,2,2,2,3,83464,14,7
38,4258,0,5,1,3,2,90697,4,1
27,4259,0,1,2,3,0,89275,14,5
50,4260,1,2,2,1,3,86420,9,1
43,4261,0,2,2,1,1,91469,22,9
52,4262,1,2,0,1,1,125075,18,5
61,4263,0,2,1,2,2,32132,13,5
58,4264,0,2,1,1,3,30228,20,1
66,4265,0,4,1,2,4,26910,4,3
45,4266,0,2,1,2,1,82801,3,4
35,4267,0,1,0,3,2,101782,11,4
52,4268,1,1,0,2,1,41266,8,9
50,4269,0,2,2,2,1,45832,22,3
65,4270,0,2,2,2,1,38153,6,3
28,4271,0,3,0,1,3,93532,9,5
54,4272,0,2,0,1,3,74611,8,2
60,4273,0,2,2,0,0,72591,23,3
48,4274,0,2,2,1,3,64116,10,2
44,4275,0,2,1,1,1,49338,11,2
64,4276,0,2,0,0,0,66262,14,7
62,4277,1,2,1,2,0,92078,4,6
49,4278,0,2,0,1,3,84994,12,7
47,4279,1,2,0,0,1,77654,21,3
71,4280,0,2,1,2,2,35727,10,10
40,4281,1,0,2,2,0,79183,8,1
27,4282,0,2,0,0,0,69327,7,6
60,4283,0,0,1,1,1,88553,5,2
32,4284,0,2,2,0,3,78871,13,12
36,4285,1,1,2,2,1,85079,7,3
